iter	Passed	Remaining
0	148	148490
1	149	74641
2	151	50223
3	151	37840
4	153	30586
5	154	25606
6	155	22026
7	156	19424
8	158	17413
9	160	15909
10	162	14578
11	163	13434
12	164	12481
13	165	11677
14	166	10961
15	167	10308
16	168	9769
17	170	9296
18	172	8891
19	174	8537
20	175	8174
21	176	7837
22	177	7533
23	178	7255
24	179	6993
25	180	6756
26	181	6531
27	182	6324
28	183	6134
29	184	5956
30	185	5790
31	186	5642
32	187	5496
33	188	5355
34	189	5218
35	190	5091
36	191	4971
37	191	4857
38	192	4747
39	193	4639
40	194	4540
41	195	4451
42	195	4362
43	196	4275
44	197	4194
45	198	4117
46	199	4039
47	199	3965
48	200	3897
49	201	3833
50	202	3768
51	203	3704
52	203	3644
53	204	3587
54	205	3534
55	206	3480
56	207	3428
57	208	3379
58	208	3330
59	209	3282
60	210	3238
61	211	3195
62	212	3155
63	213	3115
64	214	3078
65	215	3043
66	216	3008
67	216	2971
68	217	2935
69	218	2900
70	219	2868
71	219	2835
72	220	2802
73	221	2770
74	222	2739
75	223	2711
76	223	2682
77	224	2657
78	225	2630
79	226	2601
80	226	2573
81	227	2546
82	227	2517
83	228	2492
84	229	2466
85	230	2445
86	231	2424
87	231	2402
88	232	2381
89	233	2360
90	234	2339
91	234	2319
92	235	2298
93	236	2278
94	237	2258
95	237	2240
96	238	2221
97	239	2204
98	240	2186
99	241	2169
100	241	2150
101	242	2132
102	242	2115
103	243	2097
104	244	2080
105	245	2066
106	246	2053
107	246	2037
108	247	2023
109	248	2007
110	248	1992
111	249	1979
112	250	1965
113	251	1951
114	251	1937
115	252	1923
116	252	1908
117	253	1895
118	254	1881
119	254	1868
120	255	1855
121	255	1841
122	256	1829
123	257	1816
124	257	1804
125	258	1792
126	258	1779
127	259	1767
128	260	1758
129	261	1748
130	262	1738
131	262	1727
132	263	1716
133	263	1705
134	264	1696
135	265	1685
136	265	1675
137	266	1664
138	267	1654
139	267	1644
140	268	1635
141	268	1624
142	269	1614
143	270	1605
144	270	1595
145	271	1586
146	271	1577
147	272	1568
148	273	1559
149	273	1551
150	274	1542
151	275	1534
152	276	1529
153	276	1521
154	277	1512
155	278	1504
156	278	1496
157	279	1488
158	279	1480
159	280	1473
160	280	1464
161	281	1456
162	282	1449
163	282	1441
164	283	1434
165	284	1427
166	284	1420
167	285	1413
168	285	1405
169	286	1398
170	287	1391
171	287	1385
172	288	1378
173	288	1371
174	289	1364
175	290	1358
176	291	1353
177	291	1347
178	292	1342
179	293	1336
180	294	1331
181	294	1325
182	295	1319
183	296	1313
184	297	1308
185	297	1303
186	298	1298
187	299	1295
188	300	1290
189	301	1285
190	302	1280
191	302	1274
192	303	1269
193	304	1264
194	304	1258
195	305	1254
196	306	1249
197	307	1245
198	308	1240
199	308	1235
200	309	1230
201	310	1226
202	311	1221
203	311	1216
204	312	1211
205	313	1206
206	313	1201
207	314	1197
208	314	1192
209	315	1187
210	316	1182
211	316	1177
212	317	1172
213	317	1167
214	318	1163
215	319	1158
216	319	1153
217	320	1149
218	321	1145
219	322	1142
220	322	1138
221	323	1134
222	324	1130
223	325	1126
224	325	1122
225	326	1118
226	327	1114
227	327	1110
228	328	1106
229	329	1102
230	329	1098
231	330	1094
232	331	1090
233	331	1086
234	332	1082
235	333	1079
236	334	1075
237	334	1071
238	335	1067
239	336	1064
240	336	1061
241	337	1058
242	338	1054
243	339	1050
244	339	1046
245	340	1043
246	341	1040
247	341	1036
248	342	1033
249	343	1029
250	343	1026
251	344	1022
252	345	1019
253	345	1016
254	346	1012
255	347	1009
256	347	1005
257	348	1002
258	349	999
259	350	996
260	350	993
261	351	990
262	352	988
263	353	985
264	354	982
265	355	979
266	355	976
267	356	973
268	357	970
269	357	967
270	358	964
271	359	961
272	359	958
273	360	955
274	361	952
275	361	949
276	362	946
277	363	943
278	363	940
279	364	937
280	365	934
281	365	931
282	366	929
283	367	926
284	368	924
285	369	921
286	369	918
287	370	916
288	371	913
289	371	910
290	372	907
291	373	905
292	373	902
293	374	899
294	375	897
295	376	894
296	376	891
297	377	889
298	378	886
299	378	883
300	379	881
301	380	878
302	380	876
303	381	874
304	382	871
305	383	869
306	384	866
307	384	864
308	385	861
309	386	859
310	386	856
311	387	854
312	388	851
313	388	849
314	389	846
315	390	844
316	390	842
317	391	839
318	392	837
319	392	834
320	393	832
321	394	830
322	394	827
323	395	825
324	396	823
325	397	821
326	397	819
327	398	816
328	399	814
329	400	812
330	400	810
331	401	807
332	402	805
333	402	803
334	403	800
335	404	798
336	404	796
337	405	794
338	406	791
339	406	789
340	407	787
341	408	785
342	408	783
343	409	780
344	410	778
345	410	776
346	411	774
347	412	773
348	413	771
349	414	769
350	414	766
